Nepali_Audio,Nepali_Script,English_Script,English_Audio
pb_nep_voice11.wav,नमस्ते सबैलाई आज हामी नेपालकै सबैभन्दा ठूलो सुन्दर रारा ताल घुम्न गइरहेका छौं म यो ठाउँ अन्वेषण गर्न धेरै उत्साहित छु,hello everyone today we are visiting the beautiful rara lake the largest lake in nepal im so excited to explore this place,pb_eng_voice11.wav
pb_nep_voice12.wav,यस स्वच्छ पानी र शान्त वातावरणलाई हेर्नुहोस् यसले स्वर्गजस्तो अनुभव गराइरहेको छ,just look at this crystalclear water and the peaceful surroundings it feels like paradise,pb_eng_voice12.wav
pb_nep_voice13.wav,आज केही कुहिरो छ त्यसैले हामीले हिमालहरू प्रष्ट देख्न सकेका छैनौं आशा छ चाँडै कुहिरो हट्छ,unfortunately theres some fog today so we cant see the mountains very clearly i hope it clears soon,pb_eng_voice13.wav
pb_nep_voice14.wav,बाटोभरि ढुंगाहरूले भरिएको हुँदा एकदम झर्को लागिरहेको छ यसले हिँड्न गाह्रो बनाउँछ,its really frustrating that the trail is full of rocks it makes walking so much harder,pb_eng_voice14.wav
pb_nep_voice15.wav,उफ पर्यटकहरूले फालेको फोहोर जताततै छ किन मान्छेहरूले प्रकृतिलाई सम्मान गर्दैनन् यो साँच्चै निराशाजनक छ,ugh the garbage left by visitors is everywhere why dont people respect nature its really disappointing,pb_eng_voice15.wav
pb_nep_voice16.wav,तालको यो भाग निकै गहिरो देखिन्छ र शान्ति अलि असहज लाग्दैछ मलाई यहाँ अलि डर लागिरहेको छ,this part of the lake looks so deep and the silence is a bit unsettling i feel a little scared here,pb_eng_voice16.wav
pb_nep_voice17.wav,वाह त्यो हेर्नुहोस् सूर्यास्त तालमाथि ढल्दैछ र रंगहरू अविश्वसनीय देखिन्छन् मैले यति सुन्दर हुने सोचेको थिइनँ,wow just look at that the sun is setting over the lake and the colors are unreal i didnt expect it to be this beautiful,pb_eng_voice17.wav
pb_nep_voice18.wav,हामी रारा ताल नजिक हुँदैछौं तर चिसोले सताउन थालेको छ अगाडि बढ्न अलि कठिन भइरहेको छ,were getting closer to rara lake but the cold is starting to get to me its a bit hard to keep going,pb_eng_voice18.wav
pb_nep_voice19.wav,म तपाईं सबैसँग यो अनुभव बाँड्न पाउँदा निकै खुशी छु यो ताल नेपालकै एक गहना हो र यहाँ आउन पाउँदा म धेरै गर्व गर्छु,im really happy to be sharing this experience with you all this lake is a treasure of nepal and im so proud to be here,pb_eng_voice19.wav
pb_nep_voice20.wav,हामी अन्ततः रारा तालमा आइपुग्यौं दृश्य साँच्चै मनमोहक छ र यो क्षण म कहिल्यै बिर्सने छैन,weve finally reached rara lake the view is breathtaking and this moment is something ill never forget,pb_eng_voice20.wav
pb_nep_voice21.wav,सबैजनालाई नमस्कार आज हामी लुम्बिनीमा छौं जहाँ भगवान बुद्ध जन्मिनुभएको थियो यो ठाउँ केवल सुन्दर मात्र होइन शान्त र आध्यात्मिक पनि छ,greetings everyone today we are in lumbini the birthplace of lord buddha this place is not just beautiful its peaceful and spiritual,pb_eng_voice21.wav
pb_nep_voice22.wav,म यो पवित्र ठाउँमा आउन धेरै समयदेखि प्रतीक्षा गरिरहेको थिएँ यहाँ आउन पाउँदा मेरो सपना पूरा भएको जस्तो लाग्छ,ive been looking forward to visiting this sacred site for so long its a dream come true to be here,pb_eng_voice22.wav
pb_nep_voice23.wav,दुखको कुरा भीड अपेक्षा भन्दा बढी छ शान्त ठाउँमा बसेर चिन्तन गर्न गाह्रो भइरहेको छ,sadly it seems the crowd is a bit bigger than expected its hard to find a quiet spot to reflect,pb_eng_voice23.wav
pb_nep_voice24.wav,जब मानिसहरूले यो पवित्र ठाउँलाई सम्मान गर्दैनन् र धेरै हल्ला गर्छन् त्यसले एकदम झर्को लाग्छ यसले शान्त वातावरण बिथोल्छ,its really frustrating when people dont respect the sacredness of this place and make so much noise it disturbs the peace,pb_eng_voice24.wav
pb_nep_voice25.wav,मान्नै गाह्रो छ यहाँ मान्छेहरूले फोहोर यत्तिकै छोडिदिन्छन् यो पवित्र ठाउँमा यसरी फोहोर गर्नु निकै असम्मानजनक हो,i cant believe people leave garbage around here its so disrespectful to such a holy place,pb_eng_voice25.wav
pb_nep_voice26.wav,यहाँका मन्दिरहरू र बगैंचा निकै प्राचीन र रहस्यमय देखिन्छन् म अलि अचम्ममा परेको छु यो ठाउँ निकै शान्त र स्थिर छ,the temples and gardens around here look ancient and mysterious im feeling a bit overwhelmed its so quiet and still,pb_eng_voice26.wav
pb_nep_voice27.wav,वाह यो सुन्दर अशोक स्तम्भ हेर्नुहोस् यति पुरानो संरचना अझै उभिएको देख्दा अचम्म लागिरहेको छ,wow look at this beautiful ashoka pillar its incredible to see something this old still standing,pb_eng_voice27.wav
pb_nep_voice28.wav,जब हामी पवित्र पोखरीतिर जाँदैछौं मैले गहिरो शान्तिको अनुभव गरिरहेको छु जस्तो लाग्छ यहाँ समय रोकिएझैँ छ,as we walk closer to the sacred pond i feel a deep sense of peace its almost as if time has stopped here,pb_eng_voice28.wav
pb_nep_voice29.wav,भगवान बुद्धले आफ्ना पहिलो पाइला चाल्नुभएको यसै स्थानमा हिँड्न पाउँदा म निकै खुशी छु यो साँच्चै विशेष महसुस भइरहेको छ,im so happy to be walking in the same place where lord buddha took his first steps it feels truly special,pb_eng_voice29.wav
pb_nep_voice30.wav,हामी अन्ततः मायादेवी मन्दिरमा आइपुग्यौं यहाँको उर्जालाई म विश्वास गर्नै सक्दिनँ र यो क्षण अनुभव गर्न पाउँदा म निकै भाग्यमानी महसुस गरिरहेको छु,weve finally reached the mayadevi temple the energy here is unbelievable and i feel so lucky to experience this moment,pb_eng_voice30.wav
pb_nep_voice31.wav,नमस्ते प्रकृति प्रेमीहरू बर्दिया राष्ट्रिय निकुञ्जमा स्वागत छ नेपालकै सबैभन्दा ठूलो र सुन्दर संरक्षित क्षेत्रमा तपाईंलाई स्वागत छ म तपाईंलाई यो यात्रा देखाउन धेरै उत्साहित छु,hey there nature lovers welcome to bardiya national park one of nepals largest and most beautiful protected areas im so excited to take you along,pb_eng_voice31.wav
pb_nep_voice32.wav,यो निकुञ्जमा बाघ हात्ती गैंडा जस्ता अद्भुत जनावरहरूको बासस्थान छ म तिनीहरूलाई देख्न नपाएर कुरै गर्न सक्दिनँ,this park is home to so many incredible animals like bengal tigers elephants and rhinos i cant wait to see them,pb_eng_voice32.wav
pb_nep_voice33.wav,तर यी जनावरहरू चोरी शिकारी र बासस्थानको नोक्सानीको कारण जोखिममा छन् यस बारे सोच्दा मुटु दुख्छ,sadly these animals are under threat due to poaching and habitat loss its heartbreaking to think about it,pb_eng_voice33.wav
pb_nep_voice34.wav,जब मानिसहरूले निकुञ्जका नियमहरू पालना गर्दैनन् त्यो साँच्चै झर्को लाग्छ यो संरक्षित क्षेत्र हो र हामीले यहाँका वन्यजन्तुलाई सम्मान गर्नुपर्छ,its so annoying when people dont follow the park rules this is a protected area and we should all respect the wildlife,pb_eng_voice34.wav
pb_nep_voice35.wav,यहाँको जंगल निकै घना छ जस्तै कुनै जङ्गली रहस्यमय दुनियाँमा प्रवेश गरेको जस्तो लाग्छ हरेक ठाउँमा जनावरहरूको आवाज सुन्न सकिन्छ,the jungle here is so dense it almost feels like youre walking into a wild mysterious world you can hear the sounds of animals everywhere,pb_eng_voice35.wav
pb_nep_voice36.wav,म अलि डराइरहेको छु हामी निकै भित्र छौं झाडीभित्र के लुकेको छ थाहा छैन,im feeling a little nervous right now were deep in the jungle and who knows whats hiding in the bushes,pb_eng_voice36.wav
pb_nep_voice37.wav,वाह त्यो हेर्नुहोस् हामीले भर्खरै जङ्गली हात्तीहरूको बथान देख्यौं तिनीहरूलाई आफ्नै बासस्थानमा देख्नु साँच्चै अचम्मको छ,wow look at that weve just spotted a herd of wild elephants its amazing to see them in their natural habitat,pb_eng_voice37.wav
pb_nep_voice38.wav,यो निकुञ्ज धेरै शान्त छ तर सधैं सचेत रहनुपर्छ आखिर यो जङ्गल हो,the park is so peaceful but you always have to be careful this is the wild after all,pb_eng_voice38.wav
pb_nep_voice39.wav,म यहाँ बर्दियामा प्रकृतिले घेरेर निकै खुशी छु यसले ब्यस्त सहरको जीवनबाट एकदम छुटकारा पाएको जस्तो लाग्छ,im so happy to be here in bardiya surrounded by nature it feels like a true escape from the busy city life,pb_eng_voice39.wav
pb_nep_voice40.wav,साथमै रहनुहोस् किनकि अर्को भागमा हामी अझ गहिरो जंगलतिर जानेछौं र आशा छ केही बाघहरू देख्न पाउनेछौं,stay tuned because in the next part were going to explore even deeper into the jungle and hopefully spot some tigers,pb_eng_voice40.wav
pb_nep_voice41.wav,सबैलाई फेरि स्वागत छ आजको भिडियोमा हामी बर्दिया राष्ट्रिय निकुञ्जको भित्री भागमा जाँदैछौं जहाँ जंगल झन् घना र जङ्गली बन्दै जान्छ,welcome back everyone in todays video were going deeper into the heart of bardiya national park where the forest becomes even denser and wilder,pb_eng_voice41.wav
pb_nep_voice42.wav,हाम्रा वरिपरिका यी विशाल सालका रूखहरू हेर्नुहोस् यो जंगल प्राचीन जस्तो लाग्छ जस्तै यो सदियौंदेखि कसैले छोएको छैन,just look at these massive sal trees around us this forest feels ancient like it has been untouched for centuries,pb_eng_voice42.wav
pb_nep_voice43.wav,यो जंगल भन्दा बढी स्तनधारी जनावरहरूको घर हो जसमा बाघ प्रमुख आकर्षण मध्ये एक हो आज हामी एक देख्न पाउने आशा छ,the forest is home to over species of mammals including bengal tigers one of the parks biggest attractions were hoping to spot one today,pb_eng_voice43.wav
pb_nep_voice44.wav,दुःखको कुरा यो संरक्षित क्षेत्र भए पनि गंगा नदी डल्फिन र दलदल मृगजस्ता प्रजातिहरू अझै जोखिममा छन् हामीले तिनीहरूलाई जोगाउन थप प्रयास गर्नुपर्छ,sadly despite being a safe haven some species like the gangetic dolphin and swamp deer are still endangered we need to do more to protect them,pb_eng_voice44.wav
pb_nep_voice45.wav,मानिसहरूले यो जनावरहरूको प्राकृतिक बासस्थान हो भन्ने बिर्सेर धेरै हल्ला गर्छन् वा फोहोर छोड्छन् भने एकदमै झर्को लाग्छ,its frustrating when people forget that this is their natural home and disturb the animals by making too much noise or leaving litter,pb_eng_voice45.wav
pb_nep_voice46.wav,अहिले हामीले बाघका ताजा पैतालाका छाप देख्यौं यसको मतलब यहाँ नजिकै कुनै बाघ छ यो उत्साहजनक छ तर अलिकति डर लाग्दो पनि,just now we spotted some fresh tiger tracks this means theres definitely one close by its both exciting and a bit scary,pb_eng_voice46.wav
pb_nep_voice47.wav,उता हेर्नुहोस् एउटा चित्तलहरूको समूह शान्तसँग घाँस चर्दै छन् जनावरहरूलाई आफ्नै प्राकृतिक वातावरणमा देख्दा एकदमै शान्त महसुस हुन्छ,look over there a group of spotted deer grazing peacefully its such a calming sight to see animals in their natural surroundings,pb_eng_voice47.wav
pb_nep_voice48.wav,वाह कस्तो अचम्म हामीले गैंडा देख्यौं ती धेरै ठूला र शाही देखिन्छन् तर यति शान्त तिनलाई नजिकबाट हेर्न पाउनु विशेष अनुभव हो,wow what a surprise we just spotted a rhino they are huge and majestic yet so calm its a special experience to see them up close,pb_eng_voice48.wav
pb_nep_voice49.wav,बर्दियाको घाँसे मैदान पनि ठूला जनावरहरू मात्र होइन साना जनावरहरू जस्तै सर्प र चराहरूको लागि महत्त्वपूर्ण छ यहाँको जैविक विविधता साँच्चै अविश्वसनीय छ,bardiyas grasslands are also important not just for big animals but for small ones like reptiles and birds the diversity here is incredible,pb_eng_voice49.wav
pb_nep_voice50.wav,आजको अन्वेषणलाई अन्त्य गर्दै अर्को भागको लागि साथमै रहनुहोस् हामी कर्णाली नदीमा डुंगा सफारी गर्दै घडियाल र डल्फिनहरू हेर्न जानेछौं,as we wrap up todays exploration stay tuned for the next part well go on a boat safari along the karnali river to spot some crocodiles and dolphins,pb_eng_voice50.wav
1N.wav,नमस्कार सबैलाई आज हामी जनकपुरधामको यात्रामा छौं,hello everyone today we are on a journey to janakpurdham,1E.wav
2N.wav,यो सहर नेपालको एक प्रमुख धार्मिक र सांस्कृतिक केन्द्र हो,this city is one of nepals most important religious and cultural hubs,2E.wav
3N.wav,जनकपुरधामको हृदयमा रहेको जनकी मन्दिर यो सहरको सबैभन्दा ठूलो आकर्षण हो,at the heart of janakpurdham the janaki mandir stands as its most prominent attraction,3E.wav
4N.wav,यही मन्दिरमा देवी सीताको जन्म भएको मानिन्छ र भगवान रामसँगको विवाह पनि यहीँ भएको थियो,it is believed that goddess sita was born here and it is where she married lord ram,4E.wav
5N.wav,यहाँको वास्तुकला र यसको रंगीन सजावटले आगन्तुकहरूलाई आकर्षित गर्छ,the architecture and vibrant decorations attract visitors from all around,5E.wav
6N.wav,तर यहाँको भीडले कहिलेकाहीँ डराउने अनुभव पनि दिन सक्छ,however the crowd can sometimes create a frightening experience,6E.wav
7N.wav,जनकपुरधामको वातावरणले यहाँको धार्मिकता र सांस्कृतिक धरोहरलाई जिवित राख्छ,the atmosphere of janakpurdham keeps its religious and cultural heritage alive,7E.wav
8N.wav,यस मन्दिरको महत्त्व धेरै प्राचीन छ यो धार्मिक स्थलले हजारौं भक्तहरूलाई आकर्षित गर्छ,this temple holds ancient significance and attracts thousands of devotees from around the world,8E.wav
9N.wav,यसको निर्माण शैली अद्वितीय छ तीन तले भवन संगमरमर र ढुंगाबाट बनेको छ,the architecture is unique with its threestory structure made of marble and stone,9E.wav
10N.wav,मन्दिरको वटा कोठा झ्याल चित्र र नेपालका झन्डाले सजाइएको छ,the rooms in the temple are adorned with windows paintings and nepalese flags,10E.wav
11N.wav,यहाँको अव्यवस्थाले कहिलेकाहीँ दुःखी बनाउँछ,the disorganization here sometimes makes me feel sad,11E.wav
12N.wav,मन्दिरको धरोहर र इतिहासले यहाँको महत्त्वलाई अझै बढाउँछ,the heritage and history of the temple enhance its significance even more,12E.wav
13N.wav,जनकपुरधामका चाडपर्वहरूले यहाँको धार्मिकता अझ प्रस्ट पार्छ,the festivals of janakpurdham clearly highlight its deep spirituality,13E.wav
14N.wav,विवाह पंचमी र रामनवमी यहाँ मनाइने प्रमुख चाडहरू हुन्,vivaha panchami and ram navami are the major festivals celebrated here,14E.wav
15N.wav,विवाह पंचमीमा मन्दिर रंगीन बत्ती र फूलहरूले झिलिमिली हुन्छ,during vivaha panchami the temple is beautifully decorated with colorful lights and flowers,15E.wav
16N.wav,तर कहिलेकाहीँ यहाँको भीडले डर पैदा गर्न सक्छ,however sometimes the crowd can create a sense of fear,16E.wav
17N.wav,यी चाडहरूमा आउने भक्तजनहरूको खुशी र उत्साह अनुपम हुन्छ,the joy and excitement of the devotees during these festivals are unparalleled,17E.wav
18N.wav,विवाह मण्डप राम र सीताको विवाह स्थलको रूपमा प्रसिद्ध छ,the vivaha mandap is known as the place where ram and sita got married,18E.wav
19N.wav,विवाहित जोडीहरू यहाँ आएर देवी सीतासँग आफ्नो वैवाहिक जीवन सफलताको कामना गर्छन्,married couples come here to seek blessings for a prosperous married life from goddess sita,19E.wav
20N.wav,राम मन्दिर जनकपुरधामको अर्को प्रमुख धार्मिक स्थल हो जुन जनकी मन्दिरबाट मिनेट टाढा छ,ram mandir is another important religious site located just a minute walk from janaki mandir,20E.wav
21N.wav,यहाँको शान्त वातावरण र पूजापाठहरूको ध्वनि एकदमै आकर्षक छ,the serene atmosphere and the sound of prayers here are truly captivating,21E.wav
22N.wav,यहाँ आउने प्रत्येक व्यक्ति राम र सीताका कथा सम्झिन्छन्,every visitor recalls the tales of ram and sita when they come here,22E.wav
23N.wav,जनकपुरधाममा भन्दा बढी तालहरू छन् तीमध्ये धनुष सागर र गंगा सागर प्रसिद्ध छन्,there are more than lakes in janakpurdham with dhanush sagar and ganga sagar being the most famous,23E.wav
24N.wav,यी तालहरूको धार्मिक महत्त्व छ र विशेष चाडपर्वमा पूजा गरिन्छ,these lakes hold religious importance and are especially revered during festivals,24E.wav
25N.wav,गंगा सागरको किनारमा बोटिंग गरेर समय बिताउन धेरै रमाइलो हुन्छ,boating along the banks of ganga sagar is a peaceful and enjoyable experience,25E.wav
26N.wav,यहाँका केही तालहरूमा पाएका फोहोरले दुःखी बनाउँछ,the litter found in some of the lakes makes me sad,26E.wav
27N.wav,यी तालहरूको सफाई र संरक्षण आवश्यक छ,the cleanliness and preservation of these lakes are essential,27E.wav
28N.wav,जनकपुरधामको खाना यहाँको संस्कृति जस्तै अनौठो र विशेष छ,the food of janakpurdham is as unique and special as its culture,28E.wav
29N.wav,यहाँको भजा नामक परिकार एकदमै स्वादिलो छ,the dish called bhaja here is incredibly tasty,29E.wav
30N.wav,यसमा फुलका चामललाई नुन खुर्सानी र तोरीको तेलमा टसल गरेर एक किसिमको परिकार तयार गरिन्छ,it is made by tossing puffed rice with salt chili and mustard oil,30E.wav
31N.wav,लिट्टी जुन हरेक गल्लीमा सजिलै पाइन्छ यहाँको विशेष परिकार हो,litti easily found on every street is a special dish here,31E.wav
32N.wav,यहाँको विशेष चटनीले खाना अझै स्वादिष्ट बनाउँछ,the special chutney here makes the food even more delicious,32E.wav
33N.wav,तर केही ठाउँमा फोहोर र गंदगीले मनमा वितृष्णा ल्याउँछ,however the trash and dirt in some places can be quite disgusting,33E.wav
34N.wav,यहाँका खाद्य परिकारहरूको स्वादले यात्रा सम्झनलायक बनाउँछ,the flavors of the food make the journey memorable,34E.wav
35N.wav,जनकपुरधामका सडकहरूमा सधैं लिट्टी समोसा जस्ता परिकारहरू पाइन्छ,the streets of janakpurdham are always lined with litti samosas and other snacks,35E.wav
36N.wav,जनकी मन्दिरको उत्तरी ढोकातर्फको गल्ली विशेष गरी लिट्टीको लागि प्रसिद्ध छ,the street next to the northern gate of janaki mandir is especially famous for litti,36E.wav
37N.wav,तातो लिट्टीको महकले मन रमाउनेछ,the smell of hot litti will captivate your senses,37E.wav
38N.wav,यहाँको चहलपहलले कहिलेकाहीँ डरको अनुभूति पनि गराउँछ,the hustle and bustle here can sometimes create a sense of fear,38E.wav
39N.wav,तर यहाँको खाद्य परिकारहरूको अनुभवले मनमा खुशी ल्याउँछ,however the experience of the food here brings joy to the heart,39E.wav
40N.wav,जनकपुरधाम र जयनगर बीचको रेलमार्गले यहाँको यात्रा सजिलो बनाएको छ,the railway between janakpurdham and jaynagar has made travel easier,40E.wav
41N.wav,यो रेलमार्गले जनकपुरधामलाई भारतसँग राम्रोसँग जडान गर्दछ,this railway connects janakpurdham well with india,41E.wav
42N.wav,यात्राको समय घटेर धेरै चाँडो र आरामदायी भएको छ,travel time has been reduced making it much quicker and more comfortable,42E.wav
43N.wav,यो रेलमार्गले यहाँको पर्यटनलाई प्रोत्साहन गर्ने महत्वपूर्ण भूमिका निभाउँछ,this railway plays an important role in promoting tourism in the area,43E.wav
44N.wav,यहाँको रेल सेवाले स्थानीय र विदेशी पर्यटकहरूका लागि सजिलो पहुँच सुनिश्चित गर्दछ,the train service ensures easy access for both local and foreign tourists,44E.wav
45N.wav,जनकपुरधामको यो धार्मिक र सांस्कृतिक यात्रा यति स्वादिलो र रोमाञ्चक छ,this journey through janakpurdhams religious and cultural heritage has been so delightful and exciting,45E.wav
46N.wav,यहाँको इतिहास खाना र संस्कृति सबैले मन छुन्छ,the history food and culture here truly touch the heart,46E.wav
47N.wav,म यो सहरलाई सबैलाई एकपल्ट अवश्य भ्रमण गर्न सिफारिस गर्छु,i highly recommend everyone visit this city at least once,47E.wav
48N.wav,धन्यवाद र फेरी भेटौँला,thank you and see you next time,48E.wav
49N.wav,यहाँको अनुभवले मलाई सधैं सम्झना रहन्छ,the experience here will always stay in my memory,49E.wav
50N.wav,स्वागत छ सबैलाई आज हामी धनुषाधामको पवित्र भूमिमा यात्रा गर्दैछौं,welcome everyone today we are traveling to the sacred land of dhanushadham,50E.wav
51N.wav,धनुषाधाम नेपालको धनुषा जिल्लामा पर्ने एक प्रमुख धार्मिक स्थल हो,dhanusha dham is a major religious site located in dhanusha district nepal,51E.wav
52N.wav,यो स्थान हिन्दूहरूको पूजास्थलको रूपमा निकै प्रसिद्ध छ,this place is widely known as a sacred site for hindu worship,52E.wav
53n.wav,यहीं भगवान शिवको धनुषको अवशेष रहेको विश्वास गरिन्छ जुन भगवान रामले सीताको स्वयंवरमा तोडेका थिए,it is believed that a part of lord shivas bow which lord ram broke during sitas swayamvara is preserved here,53E.wav
54N.wav,यस अवशेषको वरिपरि अहिले एक मन्दिर बनाइएको छ र यसलाई दर्शन गर्न हजारौं भक्तजनहरू संसारभरबाट आउँछन्,a temple has been constructed around the remains of the bow and thousands of devotees from all over the world visit for darshan,54E.wav
55N.wav,मकर संक्रान्तिको अवसरमा यहाँ हरेक वर्ष विशेष मेला लाग्छ,every year a grand festival is held here during makar sankranti,55E.wav
56N.wav,भक्तजनहरू धनुष मन्दिरमा पूजा गर्न र आफ्नो धार्मिक आस्था व्यक्त गर्न आउँछन्,devotees come to dhanusha mandir to offer prayers and express their faith,56E.wav
57N.wav,यो स्थान जनकपुरबाट किलोमिटरको दूरीमा रहेको छ र यहाँसम्म ठोस सडकको माध्यमबाट सजिलै पुग्न सकिन्छ,the place is located km from janakpur and is easily accessible via a concrete road,57E.wav
58n.wav,यहाँको यात्रा गर्न र मकर संक्रान्तिको मेलामा सहभागी हुँदा धेरै रमाइलो अनुभव हुन्छ,traveling to this place and participating in the makar sankranti festival is a joyful and enriching experience,58E.wav
59N.wav,धनुष मन्दिरको वातावरणले यहाँको धार्मिक महत्त्वलाई अझ बलियो बनाउँछ,the atmosphere of dhanusha mandir strongly reflects its deep religious significance,59E.wav
60N.wav,यो ठाउँको ऐतिहासिक र धार्मिक महत्त्वले यहाँको यात्रा सधैं सम्झनलायक बनाउँछ,the historical and religious importance of this site makes every visit memorable,60E.wav
61N.wav,यो स्थानमा आउने प्रत्येक भक्तजनको अनुशासन र आस्था यस क्षेत्रको धार्मिक परम्परालाई अझ बलियो बनाउँछ,the devotion and discipline of every pilgrim visiting this place further strengthen the religious tradition of the area,61E.wav
62N.wav,म मकर संक्रान्तिको समयमा यहाँको यात्रा गर्न सबैलाई सुझाव दिन्छु,i highly recommend everyone to visit this place during the makar sankranti festival,62E.wav
63N.wav,नमस्कार साथीहरू आज म तपाईँलाई लिएर जाँदैछु नेपालको एक अनमोल प्राकृतिक गहना पर्सा राष्ट्रिय निकुञ्जमा यहाँको सुन्दरता र वन्यजीवनको संसारमा डुब्न तयार हुनुहोस्,hello friends today im taking you to one of nepals hidden natural treasures parsa national park get ready to dive into a world of beauty and wildlife,63E.wav
64N.wav,यो निकुञ्ज नेपालका दक्षिणी तराईमा अवस्थित छ र विभिन्न वन्यजन्तुको संरक्षणका लागि प्रसिद्ध छ के तपाईंलाई थाहा छ यहाँ हात्ती र बाघहरू समेत छन्,this park is located in nepals southern terai and is famous for its wildlife conservation did you know there are elephants and even tigers here,64E.wav
65N.wav,यात्रा गर्दा तपाईंलाई प्रकृतिको निकटता कति रमाइलो लागिरहेको छ मलाई अवश्य बताउनुहोला यो ठाउँले तपाईंलाई एक क्षणको लागि वास्तविक जीवनबाट टाढा पुर्याउँछ,as we journey through let me know how much youre enjoying being close to nature this place will take you far from everyday life even if just for a moment,65E.wav
66N.wav,हामी अहिले निकुञ्जको मुख्य प्रवेशद्वारतर्फ जाँदैछौं यो ठाउँको सुरुवातदेखि नै तपाईंले सिमसारको हरियाली सानासाना चराहरूको आवाज सुन्न पाउनुहुन्छ,were heading towards the main entrance of the park right from the start you can hear the calls of birds and witness the greenery of the wetlands,66E.wav
67N.wav,यहाँको खुला वातावरणले मुटु छुन्छ तर कहिलेकाहीं यो निसर्गसँगको यति गहिरो सम्बन्धले अचम्म पनि लाग्छ,the open atmosphere here really touches the heart but sometimes the deep connection with nature can be surprising,67E.wav
68N.wav,अब हामी हात्ती सफारीतर्फ जाँदैछौं यो अनुभवले तपाईंलाई वन्यजन्तुहरूको संसारमा पुर्याउनेछ हात्तीहरूको नजिक हुँदा के तपाईंलाई अलि डर लाग्दैन,now we are heading towards the elephant safari this experience will take you deep into the wildlife world dont you feel a bit nervous being so close to the elephants,68E.wav
69N.wav,तर यो सफारीको रोमाञ्चकता अद्वितीय छ तपाईंले हात्तीहरूको प्राकृतिक बासस्थानमा उनीहरूलाई हिँडिरहेको देख्न पाउनुहुन्छ,but the thrill of this safari is unmatched youll see the elephants walking in their natural habitat,69E.wav
70N.wav,केही ठाउँमा भने प्लास्टिक र फोहोर देख्दा मन खिन्न हुन्छ यस्ता सुन्दर स्थानहरूमा यसरी प्रदूषणले पर्यावरणलाई बिगार्छ,however seeing plastic and litter in some areas is quite disheartening pollution ruins such beautiful places and harms the environment,70E.wav
71N.wav,हामीले हात्तीहरूलाई अलिकति नजिकैबाट देख्न पाएका छौं तपाईंले यी ठूला जनावरहरूलाई वास्तविक जीवनमा यति नजिकबाट देख्न कहिल्यै सोच्नुभएको थियो,weve been able to see the elephants up close have you ever imagined seeing such majestic creatures so close in real life,71E.wav
