nepali_audio,english_text,english_audio
./audio/PRB_Nep_01_Jhapa_24.wav,The fresh air the sound of birds chirping its like stepping into a different world,./audio/PRB_Eng_01_Jhapa_24.wav
./audio/PRB_Nep_01_Jhapa_25.wav,The temple complex here is serene ,./audio/PRB_Eng_01_Jhapa_25.wav
./audio/PRB_Nep_01_Jhapa_26.wav,People come to pray meditate and just breathe in peace,./audio/PRB_Eng_01_Jhapa_26.wav
./audio/PRB_Nep_01_Jhapa_27.wav,The tribes in Jhapa like the Rajbanshi and Limbu bring so much life and color to the region ,./audio/PRB_Eng_01_Jhapa_28.wav
./audio/PRB_Nep_01_Jhapa_28.wav,Their festivals dances and unique traditions will leave you in awe,./audio/PRB_Eng_01_Jhapa_29.wav
./audio/PRB_Nep_01_Jhapa_29.wav,But many of these traditions are slowly fading away as modernity takes over Its heartbreaking,./audio/PRB_Eng_01_Jhapa_29-1.wav
./audio/PRB_Nep_01_Jhapa_30.wav,And the food From dhido to gundruk the flavors of Jhapa are as diverse as its people ,./audio/PRB_Eng_01_Jhapa_30.wav
./audio/PRB_Nep_01_Jhapa_31.wav,Every bite tells a story of generations,./audio/PRB_Eng_01_Jhapa_31.wav
./audio/PRB_Nep_01_Jhapa_32.wav,Most people here live off the land ,./audio/PRB_Eng_01_Jhapa_32.wav
./audio/PRB_Nep_01_Jhapa_33.wav,Farming tea estates and livestock are their main sources of livelihood ,./audio/PRB_Eng_01_Jhapa_33.wav
./audio/PRB_Nep_01_Jhapa_34.wav,Its a simple life but theres beauty in that simplicity,./audio/PRB_Eng_01_Jhapa_34.wav
./audio/PRB_Nep_01_Jhapa_35.wav,Yet with rising costs and unpredictable weather many farmers are struggling to make ends meet,./audio/PRB_Eng_01_Jhapa_35.wav
./audio/PRB_Nep_01_Jhapa_36.wav,Jhapa is more than just a destination,./audio/PRB_Eng_01_Jhapa_36.wav
./audio/PRB_Nep_01_Jhapa_37.wav,Its an experience that stays with you,./audio/PRB_Eng_01_Jhapa_37.wav
./audio/PRB_Nep_01_Jhapa_38.wav,The warmth of the people the beauty of the landscapes and the rich culture make you want to come back again and again,./audio/PRB_Eng_01_Jhapa_38.wav
./audio/PRB_Nep_01_Jhapa_39.wav,The lush green tea gardens of Jhapa stretch as far as the eye can see ,./audio/PRB_Eng_01_Jhapa_39.wav
./audio/PRB_Nep_01_Jhapa_40.wav,Walking through them you feel like youve entered a sea of greenery peaceful and endless,./audio/PRB_Eng_01_Jhapa_40.wav
./audio/PRB_Nep_01_Jhapa_41.wav,The meeting point of the Kankai and Ratuwa rivers ,./audio/PRB_Eng_01_Jhapa_41.wav
./audio/PRB_Nep_01_Jhapa_42.wav,Its a place of power and tranquility where natures beauty leaves you in awe,./audio/PRB_Eng_01_Jhapa_42.wav
./audio/PRB_Nep_01_Jhapa_43.wav,The town of Pathari may seem small but it is full of life and stories,./audio/PRB_Eng_01_Jhapa_43.wav
./audio/PRB_Nep_01_Jhapa_44.wav,The lively markets and friendly people make you feel instantly welcomed,./audio/PRB_Eng_01_Jhapa_44.wav
./audio/PRB_Nep_01_Jhapa_45.wav,The dense Charali Forest is home to many rare birds and animals,./audio/PRB_Eng_01_Jhapa_45.wav
./audio/PRB_Nep_01_Jhapa_47.wav,Walking through its shaded paths theres a sense of adventure and mystery in every step,./audio/PRB_Eng_01_Jhapa_46.wav
./audio/PRB_Nep_01_Jhapa_47-1.wav,Standing on the Mechi Bridge watching the river flow beneath you feel the invisible line between Nepal and India ,./audio/PRB_Eng_01_Jhapa_47.wav
./audio/PRB_Nep_01_Jhapa_48.wav,Its humbling and surreal,./audio/PRB_Eng_01_Jhapa_48.wav
./audio/PRB_Nep_01_Jhapa_49.wav,The calm of Bhadrapur contrasts with the busy life of the bigger towns,./audio/PRB_Eng_01_Jhapa_49.wav
./audio/PRB_Nep_01_Jhapa_50.wav, Its a perfect spot to reflect and enjoy the slow rhythm of life,./audio/PRB_Eng_01_Jhapa_50.wav
./audio/PRB_Nep_01_Jhapa_51.wav,The traditional Rajbanshi houses made of bamboo and thatch show the simplicity and beauty of the local way of life,./audio/PRB_Eng_01_Jhapa_51.wav
./audio/PRB_Nep_01_Jhapa_52.wav,During the monsoon the rice fields of Jhapa turn into a green carpet that glows in the rain ,./audio/PRB_Eng_01_Jhapa_52.wav
./audio/PRB_Nep_01_Jhapa_53.wav,Its a sight that fills your heart with peace,./audio/PRB_Eng_01_Jhapa_53.wav
./audio/PRB_Nep_01_Jhapa_54.wav,The folk songs you hear in the villages of Jhapa are full of emotion telling stories of love loss and lifes simplicity,./audio/PRB_Eng_01_Jhapa_54.wav
./audio/PRB_Nep_01_Jhapa_55.wav,The sweets in Jhapas local shops like khuwa and anarsa are made with love ,./audio/PRB_Eng_01_Jhapa_55.wav
./audio/PRB_Nep_01_Jhapa_56.wav,Each bite feels like a taste of the regions heritage,./audio/PRB_Eng_01_Jhapa_56.wav
./audio/PRB_Nep_01_Jhapa_57.wav,Kechana Kabal the lowest point in Nepal feels like standing on the edge of the world a quiet spot untouched by time,./audio/PRB_Eng_01_Jhapa_57.wav
./audio/PRB_Nep_01_Jhapa_58.wav,Watching the reflection of the sky on Mai Pokhari you feel like you're in a painting The stillness is otherworldly,./audio/PRB_Eng_01_Jhapa_58.wav
./audio/PRB_Nep_01_Jhapa_59.wav,The historical site of Kichakbadh tells tales of epic battles ,./audio/PRB_Eng_01_Jhapa_59.wav
./audio/PRB_Nep_01_Jhapa_60.wav,As you stand here you can almost hear the clashing swords of the past,./audio/PRB_Eng_01_Jhapa_60.wav
./audio/PRB_Nep_01_Jhapa_61.wav,The vast open fields of Gherabari seem to stretch endlessly ,./audio/PRB_Eng_01_Jhapa_61.wav
./audio/PRB_Nep_01_Jhapa_62.wav,Standing there you feel so small in the grandness of nature,./audio/PRB_Eng_01_Jhapa_62.wav
./audio/PRB_Nep_01_Jhapa_63.wav,The small town of Baigundhura is filled with warm people and simple joys ,./audio/PRB_Eng_01_Jhapa_63.wav
./audio/PRB_Nep_01_Jhapa_64.wav,The smiles of the children running around fill your heart with happiness,./audio/PRB_Eng_01_Jhapa_64.wav
./audio/PRB_Nep_01_Jhapa_65.wav,Walking through this park dedicated to a local hero you feel proud of Jhapas heritage and the stories of courage it carries,./audio/PRB_Eng_01_Jhapa_65.wav
./audio/PRB_Nep_01_Jhapa_66.wav,The sound of the Satasidham waterfall crashing down fills you with energy ,./audio/PRB_Eng_01_Jhapa_66.wav
./audio/PRB_Nep_01_Jhapa_67.wav,Its a reminder of natures unstoppable power,./audio/PRB_Eng_01_Jhapa_67.wav
./audio/PRB_Nep_01_Jhapa_68.wav,Watching a local football match at Mechi Stadium the cheers of the crowd echo in your ears filling you with the thrill of competition,./audio/PRB_Eng_01_Jhapa_68.wav
./audio/PRB_Nep_01_Jhapa_69.wav,The Rajbanshi cuisine rich in flavor and tradition reminds you of how food brings people together ,./audio/PRB_Eng_01_Jhapa_69.wav
./audio/PRB_Nep_01_Jhapa_70.wav,Each dish feels like a celebration,./audio/PRB_Eng_01_Jhapa_70.wav
./audio/PRB_Nep_01_Jhapa_71.wav,The sense of community in Jhapa is strong ,./audio/PRB_Eng_01_Jhapa_71.wav
./audio/PRB_Nep_01_Jhapa_72.wav,Neighbors help each other and festivals bring everyone together ,./audio/PRB_Eng_01_Jhapa_72.wav
